username,rating
VariantsBot,3021
ToromBot,2869
NecroMindX,2858
ElPeonElectrico,2828
PINEAPPLEMASK,2824
Ghost_HunteR2998,2819
Endogenetic-Bot,2818
TacticalBot,2816
Exogenetic-Bot,2773
Speeedrunchessgames,2699
MaggiChess16,2655
NNUE_Drift,2649
RaspFish,2646
DarkOnBot,2628
strain-on-veins,2600
Yuki_1324,2569
YoBot_v2,2565
HIWIN1234,2554
InvinxibleFlxsh,2541
ResoluteBot,2455
colinbot,2434
NilatacBot,2216
anti-bot,2206
zipfile_chess-bot,2200
CatNail,2088
FairyTailRegimeBot,1978
pawnrobot,1912
PZChessBot,1746
pangubot,1471
DanerdBot,1233
MinOpponentMoves,1031
