username,rating
Cheszter,3038
InvinxibleFlxsh,3030
root2323,3030
VEER-OMEGA-BOT,3029
Classic_BOT-v2,3029
pangubot,3027
Speeedrunchessgames,3025
SupraNova_V11,3025
YoBot_v2,3024
Bharat_royals,3021
PositionalAI,3015
eNErGyOFbEiNGbOT,3013
BSTAF,3012
Ghost_HunteR2998,3012
ToromBot,3011
Endogenetic-Bot,3009
NNUE_Drift,3007
Sooraj_Kumar_P_S,3006
PINEAPPLEMASK,3004
NecroMindX,3004
FayEFish,3000
Alexandrya,2997
tbhOnBot,2992
Alexnajax_Fan,2992
Bot1nokk,2992
cinder-bot,2990
DarkOnBot,2985
RaspFish,2983
GCNbyFayE,2979
Ukraine-team-creator,2979
Exogenetic-Bot,2975
ArasanX,2968
IndiBot,2964
strain-on-veins,2960
MaggiChess16,2953
HIWIN1234,2952
ResoluteBot,2945
BOT_Stockfish13,2945
AlwaysPlayMystery,2940
NewChessEngine-ai,2939
ElPeonElectrico,2936
virus_exe-bot,2929
Motor-0,2896
colinbot,2896
Pseudo-1,2869
MAGIC11BOT,2807
PZChessBot,2806
duchessAI,2796
Cheng-4-NN,2795
pawn_git,2770
SaxtonEngine,2764
odonata-bot,2764
Weiawaga,2763
GoblinAjedrezAI,2763
PatriciaBot,2752
lambergar,2743
IlluminaChessEngine,2738
TheUnforgivingBot,2732
simbelmyne-bot,2652
Lynx_BOT,2649
TestingBot1,2647
Cheng-4,2640
SeitoGaKatsu,2598
bot_adario,2587
Meltd0wn,2580
margret9033,2579
Euwe-chess-engine,2556
bitbitbot,2541
admete_bot,2518
SleepMindEngine,2505
LimboBot,2484
ViolentStockfish,2483
InanisBot,2479
Pseudo-0,2476
Phalanx-XXV,2452
GNU4u,2448
Casanchess-NNUE,2444
PeachFruit,2439
bot64jaques,2430
GlueWinner,2428
GNUPassant,2381
RavenEngine,2329
grail-bot,2327
FataliiBot,2324
fornax-engine,2322
Eichkatzerl,2232
WolfuhfuhBot,2227
TroutBot,2218
CosetteBot,2217
halcyonbot,2206
simpleEval,2187
MaxtheDog-ESP32,2186
Goldfish-Engine,2180
Humaia-Strong,2177
GanapaEngine,2152
Hyperopic,2150
waychess-bot,2117
honzovy-sachy-2,2101
likeawizard-bot,2077
matmoi,2076
natto-bot,2069
fathzer-jchess,2063
jangine,2020
AconcaguaBot,2016
maello_bot,2011
Funeddy-Robotik,2010
ArchduchessBot,2007
LeelaQueenForKnight,2000
LeelaKnightOdds,2000
LeelaQueenOdds,2000
LeelaRookOdds,2000
LeelaPieceOdds,2000
croissantdealer,2000
AlphaBotical,2000
purwani,2000
charibot,2000
Annie_Archy,2000
worst_colinbot,2000
kopyto_dev,1985
Chessiverse_Raak,1984
RadianceEngine,1978
sseh-c,1975
Walleye_Bot,1969
TopasBot,1964
Elmichess,1961
GarboBot,1955
prokopakop,1875
rudim-bot,1863
piglet_engine,1843
BerkBot,1833
Novixxse,1826
littlePatricia,1811
AshNostromo,1795
honzovy-sachy,1784
FreddyyBot,1777
mochi_bot,1765
ai-con,1753
Virutor,1740
hummus-bot,1735
Demolito_L4,1718
Jibbby,1709
ChessChildren,1701
maia9_30n,1696
SybBot,1673
melsh_bot,1671
QueensGamBOT,1656
turkjs,1644
maia2200_10n,1630
maia9_10n,1618
RookRusty,1613
Demolito_L3,1599
ScalaQueen,1576
untrained4406,1558
R0bspierre,1551
maia9,1540
Chessiverse_Luc,1515
anti-bot,1500
CatNail,1500
Lurch_1,1500
fred-fast-chess,1500
NilatacBot,1500
Lurch_0,1500
VariantsBot,1500
WorstFish,1500
WB5-NoSearchNaiveBot,1498
maia5,1494
sargon-4ply,1481
sargon-3ply,1462
DavidsGuterBot,1433
Demolito_L2,1433
whychess-bot,1431
Terconari,1429
joshsbot,1425
LunaNetEngine,1424
schnecken_bot,1423
UltraBrick,1406
maia1,1387
turochamp-2ply,1380
checkmate-engine,1367
NexaStrat,1359
crabstick-engine,1348
bernstein-4ply,1346
Demolito_L1,1325
Humaia,1325
sargon-2ply,1308
Cizme,1300
katzebot,1291
turochamp-1ply,1253
pawnrobot,1217
LouisChess48-6K,1200
sargon-1ply,1158
bernstein-2ply,1136
Chessiverse_Ethan,1099
mechasoleil,1071
Cimille,981
Chessiverse_Pawnza,934
MateCheckCapture,814
grandQ_AI,771
MinOpponentMoves,725
StupidfishBOTBYDSCS,694
