username,rating
Sooraj_Kumar_P_S,3369
Endogenetic-Bot,3224
PositionalAI,3156
Bharat_royals,3154
NecroMindX,3146
Exogenetic-Bot,3131
strain-on-veins,3130
VEER-OMEGA-BOT,3122
InvinxibleFlxsh,3121
DarkOnBot,3120
eNErGyOFbEiNGbOT,3118
Yuki_1324,3117
ToromBot,3112
Speeedrunchessgames,3111
Cheszter,3108
TacticalBot,3107
NNUE_Drift,3104
BOT_Stockfish13,3102
BSTAF,3102
Classic_BOT-v2,3101
pawnocchio_bot,3100
pangubot,3098
PINEAPPLEMASK,3097
YoBot_v2,3094
Alexnajax_Fan,3094
MaggiChess16,3093
AlwaysPlayMystery,3092
NewChessEngine-ai,3092
ChampionKitten,3090
RaspFish,3070
Ukraine-team-creator,3065
colinbot,3065
HIWIN1234,3065
Alexandrya,3048
SupraNova_V11,3045
ResoluteBot,3019
Motor-0,2994
PetersBot,2987
cinder-bot,2974
Pseudo-1,2898
PZChessBot,2836
Cheng-4-NN,2803
PatriciaBot,2795
Weiawaga,2781
MAGIC11BOT,2755
duchessAI,2754
odonata-bot,2742
TheUnforgivingBot,2724
pawn_git,2717
admete_bot,2704
lambergar,2698
Lynx_BOT,2677
simbelmyne-bot,2646
ArasanX,2645
SeitoGaKatsu,2645
Cheng-4,2639
Humuhumunukunukuapu,2633
Meltd0wn,2593
bot_adario,2574
ClockworkEngine,2555
bitbitbot,2536
SleepMindEngine,2534
GNU4u,2516
Euwe-chess-engine,2511
Phalanx-XXV,2509
bot64jaques,2425
PeachFruit,2405
RavenEngine,2381
Humaia-Strong,2378
Casanchess-NNUE,2376
morabandbot,2374
GlueWinner,2372
GNUPassant,2362
Pseudo-0,2355
fornax-engine,2298
Nakshatra3,2295
pruningBot,2285
Elmichess,2259
grail-bot,2258
Kunsaya,2249
TroutBot,2249
halcyonbot,2243
honzovy-sachy-2,2242
simpleEval,2239
WolfuhfuhBot,2231
Goldfish-Engine,2224
VariantsBot,2212
fathzer-jchess,2203
Eichkatzerl,2195
natto-bot,2179
maello_bot,2160
Hyperopic,2147
Boosted_Maia_1900,2132
matmoi,2074
likeawizard-bot,2073
sseh-c,2060
GarboBot,2053
Demolito_L6,2052
jangine,2038
ArchduchessBot,2037
kopyto_dev,2016
littlePatricia,2001
Chessiverse_Luc,2000
Chessiverse_Raak,2000
Chessiverse_Ethan,2000
worst_colinbot,2000
LeelaQueenForKnight,2000
Annie_Archy,2000
Chessiverse_Pawnza,2000
YaceBot,2000
hummus-bot,2000
LeelaPieceOdds,2000
AllieTheChessBot,2000
Gryndor,2000
StreamerVSChat,2000
LeelaQueenOdds,2000
LeelaRookOdds,2000
AshNostromo,2000
LeelaKnightOdds,2000
croissantdealer,2000
Funeddy-Robotik,2000
Walleye_Bot,1997
AconcaguaBot,1992
RadianceEngine,1980
TopasBot,1969
Boosted_Maia_1700,1946
prokopakop,1945
MaxtheDog-ESP32,1926
OmbleCavalierPP,1911
honzovy-sachy,1890
rudim-bot,1883
Virutor,1853
waychess-bot,1850
ChessChildren,1848
Demolito_L5,1827
BerkBot,1814
HardRok,1814
QueensGamBOT,1814
mochi_bot,1798
Ellen_Replay,1795
maia1,1791
ben-bot,1783
ai-con,1770
Boosted_Maia_1500,1722
Demolito_L4,1713
RookRusty,1705
Jibbby,1696
ScalaQueen,1691
turkjs,1684
maia9,1667
melsh_bot,1661
Humaia,1605
Demolito_L3,1604
R0bspierre,1580
maia5,1578
schnecken_bot,1572
PARTNER3615DIAGO,1571
Boosted_Maia_1300,1570
untrained4406,1569
sargon-4ply,1568
sargon-3ply,1547
turochamp-2ply,1531
whychess-bot,1530
SybBot,1519
DavidsGuterBot,1515
RostigerRitter,1514
crabstick-engine,1512
Lurch_0,1500
CatNail,1500
WorstFish,1500
NilatacBot,1500
Lurch_1,1500
bernstein-4ply,1495
Demolito_L2,1490
joshsbot,1481
Terconari,1446
NexaStrat,1429
UltraBrick,1417
LunaNetEngine,1407
turochamp-1ply,1393
sargon-1ply,1319
sargon-2ply,1313
bernstein-2ply,1305
Boris-Trapsky,1165
pawnrobot,1160
mechasoleil,1139
Cimille,1111
StupidfishBOTBYDSCS,779
MinOpponentMoves,767
