username,rating
ToromBot,2487
NecroMindX,2482
InvinxibleFlxsh,2482
eNErGyOFbEiNGbOT,2472
ChampionKitten,2462
VEER-OMEGA-BOT,2460
pangubot,2460
FayEFish,2457
Yuki_1324,2450
strain-on-veins,2447
MaggiChess16,2446
Bharat_royals,2443
BOT_Stockfish13,2442
ElPeonElectrico,2440
Endogenetic-Bot,2440
YoBot_v2,2439
BSTAF,2439
IndianGuyPlayz,2438
HIWIN1234,2435
GCNbyFayE,2432
Speeedrunchessgames,2431
PINEAPPLEMASK,2431
NNUE_Drift,2430
Exogenetic-Bot,2425
DarkOnBot,2409
Sooraj_Kumar_P_S,2406
PetersBot,2404
Classic_BOT-v2,2384
RaspFish,2383
colinbot,2367
Alexnajax_Fan,2367
AlwaysPlayMystery,2278
ResoluteBot,2266
Ukraine-team-creator,2264
SupraNova_V11,2230
PatriciaBot,2198
VariantsBot,2180
TheUnforgivingBot,2179
pawn_git,2165
SeitoGaKatsu,2116
MastacticaTeoriabot,2099
GlueWinner,2004
FataliiBot,1921
Demolito_L6,1777
MAGIC11BOT,1757
Demolito_L5,1587
littlePatricia,1527
RadianceEngine,1526
AconcaguaBot,1476
Demolito_L4,1431
Demolito_L3,1333
GarboBot,1309
fathzer-jchess,1222
DavidsGuterBot,1212
schnecken_bot,1182
Demolito_L2,1151
Demolito_L1,910
pawnrobot,692
Zerbinetto,642
MinOpponentMoves,419
