username,rating
LeelaMultiPoss,3031
InvinxibleFlxsh,2908
Alexnajax_Fan,2904
Mr-Chess-Berserk,2897
pangubot,2893
VEER-OMEGA-BOT,2892
YoBot_v2,2880
Endogenetic-Bot,2869
eNErGyOFbEiNGbOT,2856
DarkOnBot,2853
Alexandrya,2853
ChampionKitten,2851
Cheszter,2845
AlwaysPlayMystery,2845
ArasanX,2845
RaspFish,2824
colinbot,2822
MaggiChess16,2821
Viridithas,2819
PetersBot,2819
cinder-bot,2787
Funeddy-Robotik,2774
NecroMindX,2691
Weiawaga,2688
BOT_Stockfish13,2686
pawn_git,2677
ResoluteBot,2673
MAGIC11BOT,2669
BSTAF,2650
ToromBot,2597
duchessAI,2585
TheUnforgivingBot,2570
PatriciaBot,2507
simbelmyne-bot,2488
ColossusBOT,2486
SleepMindEngine,2388
ElPeonElectrico,2326
PZChessBot,2311
PeachFruit,2301
Classic_BOT-v2,2299
Casanchess-NNUE,2298
RavenEngine,2247
Nakshatra3,2216
simpleEval,2198
bitbitbot,2194
FataliiBot,2193
Yuki_1324,2188
Ukraine-team-creator,2170
pruningBot,2149
GNUPassant,2136
TribbleChessEngine,2134
Goldfish-Engine,2121
Demolito_L6,2118
SomeGoBot,2113
bot64jaques,2074
maello_bot,2059
TroutBot,2058
LeelaPieceOdds,2053
Humaia-Strong,2052
GlueWinner,2024
Demolito_L5,2009
RostigerRitter,2000
grail-bot,2000
OliThinkUnderpromote,2000
Chessiverse_Ethan,2000
Speeedrunchessgames,2000
Gold_Engine,2000
Legend_Engine,2000
ViolentStockfish,2000
BerkBot,2000
OmbleCavalierPP,2000
Chessiverse_Pawnza,2000
Chessiverse_Raak,2000
JKarimS,2000
AconcaguaBot,2000
strain-on-veins,2000
SeitoGaKatsu,2000
NNUE_Drift,2000
Terconari,2000
worst_colinbot,2000
purwani,2000
HIWIN1234,2000
NexaStrat,2000
Nimfish,2000
Euwe-chess-engine,2000
LeelaRookOdds,2000
WolfuhfuhBot,2000
AllieTheChessBot,2000
halcyonbot,2000
LeelaQueenOdds,2000
LeelaKnightOdds,2000
Elite_Engine,2000
ClockworkEngine,2000
OliThinkNomaterial,2000
prokopakop,2000
Chessiverse_Luc,2000
TacticalBot,2000
Exogenetic-Bot,2000
SupraNova_V11,2000
PINEAPPLEMASK,2000
GNU4u,2000
morabandbot,2000
Annie_Archy,2000
Meltd0wn,2000
ArchduchessBot,2000
R0bspierre,2000
Gryndor,2000
StreamerVSChat,2000
charibot,2000
Eichkatzerl,2000
croissantdealer,2000
LeelaQueenForKnight,2000
littlePatricia,2000
Walleye_Bot,2000
mochi_bot,2000
untrained4406,2000
pawnrobot,2000
TopasBot,1993
fathzer-jchess,1992
matmoi,1990
sseh-c,1986
LunaNetEngine,1982
RadianceEngine,1973
Bharat_royals,1966
jangine,1964
Boosted_Maia_1900,1958
natto-bot,1944
likeawizard-bot,1937
Demolito_L4,1923
Elmichess,1897
MaxtheDog-ESP32,1864
GarboBot,1861
rudim-bot,1859
hummus-bot,1824
Boosted_Maia_1700,1817
SomePythonBot,1813
admete_bot,1804
turkjs,1782
Demolito_L3,1779
AshNostromo,1772
maia9,1750
RookRusty,1724
ai-con,1717
Jibbby,1713
melsh_bot,1679
Boosted_Maia_1500,1675
waychess-bot,1673
maia5,1667
sargon-4ply,1663
Demolito_L2,1658
sargon-3ply,1628
schnecken_bot,1625
Boosted_Maia_1300,1614
maia1,1580
Demolito_L1,1571
UltraBrick,1568
whychess-bot,1554
turochamp-2ply,1537
joshsbot,1509
WorstFish,1500
Hyperopic,1500
CatNail,1500
bot_adario,1500
fornax-engine,1500
odonata-bot,1500
VariantsBot,1500
anti-bot,1500
NilatacBot,1500
Humuhumunukunukuapu,1500
QueensGamBOT,1500
Lurch_1,1500
Lurch_0,1500
PARTNER3615DIAGO,1490
bernstein-4ply,1431
fred-fast-chess,1427
turochamp-1ply,1410
Humaia,1384
bernstein-2ply,1360
sargon-1ply,1360
sargon-2ply,1348
DavidsGuterBot,1312
Cimille,1000
StupidfishBOTBYDSCS,839
