username,rating
VariantsBot,2754
ResoluteBot,2668
InvinxibleFlxsh,2402
YoBot_v2,2394
ToromBot,2282
NecroMindX,2252
Endogenetic-Bot,2246
Speeedrunchessgames,2240
PINEAPPLEMASK,2230
Yuki_1324,2219
TacticalBot,2190
BSTAF,2189
ElPeonElectrico,2185
HIWIN1234,2179
DarkOnBot,2173
MaggiChess16,2172
NNUE_Drift,2168
RaspFish,2125
strain-on-veins,2121
Exogenetic-Bot,2025
PetersBot,1911
colinbot,1762
Ukraine-team-creator,1477
Classic_BOT-v2,1392
MAGIC11BOT,1261
pawnrobot,1157
DanerdBot,880
MinOpponentMoves,783
