username,rating
VariantsBot,3019
ToromBot,2444
Endogenetic-Bot,2444
Ghost_HunteR2998,2441
PINEAPPLEMASK,2434
DarkOnBot,2413
NecroMindX,2396
strain-on-veins,2391
tbhOnBot,2390
Speeedrunchessgames,2348
RaspFish,2347
HIWIN1234,2342
MaggiChess16,2298
FayEFish,2292
NNUE_Drift,2275
GoblinAjedrezAI,2233
ElPeonElectrico,2230
Exogenetic-Bot,2214
InvinxibleFlxsh,2159
ResoluteBot,2155
GCNbyFayE,2110
YoBot_v2,2019
virus_exe-bot,1986
colinbot,1812
ChessChildren,1730
Bot1nokk,1572
Cheng-4,1362
pawnrobot,1254
Alexnajax_Fan,1066
MinOpponentMoves,988
MateCheckCapture,885
