username,rating
VariantsBot,2703
InvinxibleFlxsh,2593
Exogenetic-Bot,2524
NecroMindX,2516
strain-on-veins,2516
tbhOnBot,2512
Speeedrunchessgames,2509
MaggiChess16,2507
Endogenetic-Bot,2507
Ghost_HunteR2998,2498
ElPeonElectrico,2496
ToromBot,2495
PINEAPPLEMASK,2494
RaspFish,2493
DarkOnBot,2484
NNUE_Drift,2481
GoblinAjedrezAI,2474
VEER-OMEGA-BOT,2471
eNErGyOFbEiNGbOT,2467
HIWIN1234,2403
virus_exe-bot,2376
YoBot_v2,2287
colinbot,2285
ResoluteBot,2225
Bot1nokk,1500
pawnrobot,1415
MateCheckCapture,1011
MinOpponentMoves,648
