username,rating
Funeddy-Robotik,3117
InvinxibleFlxsh,3101
NecroMindX,3089
BOT_Stockfish13,3086
pangubot,3084
Yuki_1324,3083
Cheszter,3082
PositionalAI,3082
ChampionKitten,3079
Alexandrya,3076
VEER-OMEGA-BOT,3075
strain-on-veins,3075
MaggiChess16,3075
ArasanX,3072
Alexnajax_Fan,3070
YoBot_v2,3070
RaspFish,3069
DarkOnBot,3069
colinbot,3068
ToromBot,3067
NNUE_Drift,3067
PetersBot,3061
Endogenetic-Bot,3051
eNErGyOFbEiNGbOT,3043
cinder-bot,3040
HIWIN1234,3030
SupraNova_V11,3023
Motor-0,3013
BSTAF,3009
Speeedrunchessgames,2975
Ukraine-team-creator,2972
ResoluteBot,2950
Bharat_royals,2936
Classic_BOT-v2,2931
Pseudo-1,2906
PZChessBot,2884
Cheng-4-NN,2880
Weiawaga,2880
TacticalBot,2874
pawn_git,2857
duchessAI,2852
odonata-bot,2850
TheUnforgivingBot,2815
PatriciaBot,2812
lambergar,2775
simbelmyne-bot,2757
AlwaysPlayMystery,2690
Cheng-4,2675
bot_adario,2674
SeitoGaKatsu,2670
Euwe-chess-engine,2627
Lynx_BOT,2607
SleepMindEngine,2589
bitbitbot,2540
Casanchess-NNUE,2540
bot64jaques,2537
Meltd0wn,2507
virus_exe-bot,2507
GNU4u,2505
PeachFruit,2476
GlueWinner,2460
FataliiBot,2455
RavenEngine,2453
GNUPassant,2430
Pseudo-0,2421
admete_bot,2413
Phalanx-XXV,2403
fornax-engine,2402
Nakshatra3,2361
Kunsaya,2353
halcyonbot,2337
WolfuhfuhBot,2318
Goldfish-Engine,2315
grail-bot,2313
Sooraj_Kumar_P_S,2312
Hyperopic,2302
pruningBot,2299
TroutBot,2296
RostigerRitter,2269
simpleEval,2251
SomeGoBot,2245
Boris-Trapsky,2237
morabandbot,2195
matmoi,2175
honzovy-sachy-2,2146
LunaNetEngine,2145
Eichkatzerl,2138
likeawizard-bot,2134
maello_bot,2134
Demolito_L6,2133
natto-bot,2121
littlePatricia,2114
jangine,2113
Boosted_Maia_1900,2093
Elmichess,2086
TopasBot,2084
RadianceEngine,2071
MaxtheDog-ESP32,2046
sseh-c,2027
Demolito_L5,2023
Annie_Archy,2000
StreamerVSChat,2000
croissantdealer,2000
ArchduchessBot,2000
Gryndor,2000
LeelaKnightOdds,2000
AllieTheChessBot,2000
LeelaRookOdds,2000
LeelaPieceOdds,2000
LeelaQueenOdds,2000
charibot,2000
LeelaQueenForKnight,2000
Chessiverse_Pawnza,2000
Chessiverse_Ethan,2000
worst_colinbot,2000
prokopakop,2000
Exogenetic-Bot,2000
Chessiverse_Luc,2000
Chessiverse_Raak,2000
fathzer-jchess,1984
OmbleCavalierPP,1980
rudim-bot,1975
Walleye_Bot,1967
AconcaguaBot,1957
GarboBot,1954
Boosted_Maia_1700,1950
ChessChildren,1938
AshNostromo,1917
Demolito_L4,1907
mochi_bot,1890
ai-con,1888
WildorderBot,1873
SomePythonBot,1849
turkjs,1848
BerkBot,1847
Ellen_Replay,1834
hummus-bot,1830
Jibbby,1821
Virutor,1810
Demolito_L3,1810
honzovy-sachy,1803
waychess-bot,1801
Boosted_Maia_1500,1797
HardRok,1791
RookRusty,1790
melsh_bot,1785
NewChessEngine-ai,1770
maia9,1744
R0bspierre,1648
sargon-4ply,1639
ScalaQueen,1636
Boosted_Maia_1300,1633
Terconari,1607
Demolito_L2,1604
schnecken_bot,1592
maia5,1589
sargon-3ply,1564
untrained4406,1556
DavidsGuterBot,1554
maia1,1545
QueensGamBOT,1518
UltraBrick,1516
Demolito_L1,1511
joshsbot,1509
Lurch_1,1500
NilatacBot,1500
VariantsBot,1500
WorstFish,1500
CatNail,1500
Lurch_0,1500
turochamp-2ply,1499
whychess-bot,1486
NexaStrat,1483
turochamp-1ply,1384
PARTNER3615DIAGO,1374
bernstein-4ply,1366
pawnrobot,1334
sargon-2ply,1334
sargon-1ply,1320
crabstick-engine,1284
bernstein-2ply,1242
Cimille,1063
MinOpponentMoves,580
StupidfishBOTBYDSCS,458
