username,rating
VariantsBot,2759
ElPeonElectrico,2468
Speeedrunchessgames,2444
ToromBot,2422
FayEFish,2411
PINEAPPLEMASK,2407
InvinxibleFlxsh,2387
Ghost_HunteR2998,2384
tbhOnBot,2383
NNUE_Drift,2380
VEER-OMEGA-BOT,2376
Endogenetic-Bot,2372
MaggiChess16,2369
NecroMindX,2358
DarkOnBot,2296
HIWIN1234,2282
RaspFish,2282
strain-on-veins,2280
YoBot_v2,2257
virus_exe-bot,2214
GoblinAjedrezAI,2200
colinbot,2180
ResoluteBot,2150
Exogenetic-Bot,2117
DavidsGuterBot,1581
pawnrobot,1221
MinOpponentMoves,910
MateCheckCapture,876
BOT_Stockfish13,800
